names,position,image1,image2,quote
Firefly,Mental Health Professional,firefly.jpg,,
Hello Kitty / Bunny,Nurse / Nurse,hellokitty-bunny.jpg,,
Elmo,Photographer,elmo.jpg,,
Sunshine,Regional Program Director,sunshine.jpg,,
Sunny,Camp Advisor,sunny3.jpg,,"<p class='white-heading-v1'>This is a repeat after me rap!</p><p class='white-heading-v1'>All around the country coast to coast, People always ask me what I like most,</p><p class='white-heading-v1'>I don't wanna brag, I don't wanna boast</p><p class='white-heading-v1'>I always tell 'em I like toast.</p><p class='white-heading-v1'>Make TOAST yeah TOAST</p><p class='white-heading-v1'>Now there's no secret to toast perfection, there's a dial on the side, make your selection,</p><p class='white-heading-v1'>Light or dark, crispy or brown,</p><p class='white-heading-v1'>If it pops too soon, push it back down. Make TOAST yeah TOAST!</p>"
