title,author,id
Camp Activities Overview,Stitch,camp-activities
Gone Camping,Panda,panda-counselor
Fundraising Report,Glub,treasurer-report
A Letter to the CITs,Beemo,cit-counselors
The Power of Empowerment,Poofy,empowerment-poofy
What Camp Kesem Means,Hello Kitty,hello-kitty
Songs From Camp!,,camp-songs
Get Involved with Camp Kesem at the Claremont Colleges!,,get-involved
